Here is the output:

**BUSINESS KEYWORDS**

| Keyword Name | Input Parameters | Required Parameters | Optional Parameters | Description |
|--------------|-----------------|---------------------|---------------------|-------------|
| Place Order  | Yes             | Product ID, Quantity | None               | Initiate order process |
| Add To Cart  | Yes             | Product ID          | None               | Add product to cart |
| View Cart    | No              | None                | None               | Display cart contents |

**UI ACTION KEYWORDS**

| Keyword Name | Input Parameters | Parameters | Derived From SeleniumLibrary Keyword | Description |
|--------------|-----------------|-----------|--------------------------------------|-------------|
| Click On Product  | Yes            | Product Element | Click Element                  | Select product |
| Input Order Information | Yes           | Order Info      | Input Text                    | Enter order details |
| Open Cart Page    | No             | None          | Get WebElements              | Navigate to cart page |

**VERIFICATION KEYWORDS**

| Keyword Name | Input Parameters | Parameters | Derived From SeleniumLibrary Keyword | Description |
|--------------|-----------------|-----------|--------------------------------------|-------------|
| Verify Order Success  | Yes            | Order ID      | Element Should Contain         | Validate order success |
| Verify Cart Contents  | No             | None        | Page Should Contain             | Validate cart contents |
| Verify Error Message  | Yes           | Error Text   | Element Should Contain         | Validate error message |

Note: I
