"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"AI generated E2E","35621","E2E login_search_order_20260514_124712_3","","2026-05-20","failed","2026-05-20","","Login Search Order 20260514 124712","",""
"AI generated E2E","26414","E2E login_search_order_20260514_124712_5","","2026-05-20","passed","2026-05-20","","Login Search Order 20260514 124712","",""
"AI generated E2E","29613","E2E login_search_order_20260514_124712_8","","2026-05-20","passed","2026-05-20","","Login Search Order 20260514 124712","",""
"AI generated E2E","26649","E2E login_search_order_20260514_124712_9","","2026-05-20","passed","2026-05-20","","Login Search Order 20260514 124712","",""
"AI generated E2E","41072","E2E login_search_order_20260514_124712_1","","2026-05-20","passed","2026-05-20","","Login Search Order 20260514 124712","",""
"AI generated E2E","25525","E2E login_search_order_20260514_124712_6","","2026-05-20","passed","2026-05-20","","Login Search Order 20260514 124712","",""
"AI generated E2E","25942","E2E login_search_order_20260514_124712_4","","2026-05-20","passed","2026-05-20","","Login Search Order 20260514 124712","",""
"AI generated E2E","25366","E2E login_search_order_20260514_124712_10","","2026-05-20","passed","2026-05-20","","Login Search Order 20260514 124712","",""
"AI generated E2E","26154","E2E login_search_order_20260514_124712_2","","2026-05-20","passed","2026-05-20","","Login Search Order 20260514 124712","",""
"AI generated E2E","43154","E2E login_search_order_20260514_124712_11","","2026-05-20","passed","2026-05-20","","Login Search Order 20260514 124712","",""
"AI generated E2E","40889","E2E login_search_order_20260514_124712_7","","2026-05-20","passed","2026-05-20","","Login Search Order 20260514 124712","",""
