"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Auto generated from AI flow","14244","order Auto Test 6","","2026-05-19","passed","2026-05-19","","Order Auto 20260515 150607","",""
"Auto generated from AI flow","14321","order Auto Test 8","","2026-05-19","passed","2026-05-19","","Order Auto 20260515 150607","",""
"Auto generated from AI flow","14277","order Auto Test 10","","2026-05-19","passed","2026-05-19","","Order Auto 20260515 150607","",""
"Auto generated from AI flow","14492","order Auto Test 11","","2026-05-19","passed","2026-05-19","","Order Auto 20260515 150607","",""
"Auto generated from AI flow","13761","order Auto Test 9","","2026-05-19","passed","2026-05-19","","Order Auto 20260515 150607","",""
"Auto generated from AI flow","14525","order Auto Test 2","","2026-05-19","passed","2026-05-19","","Order Auto 20260515 150607","",""
"Auto generated from AI flow","15243","order Auto Test 5","","2026-05-19","passed","2026-05-19","","Order Auto 20260515 150607","",""
"Auto generated from AI flow","14380","order Auto Test 7","","2026-05-19","passed","2026-05-19","","Order Auto 20260515 150607","",""
"Auto generated from AI flow","19547","order Auto Test 1","","2026-05-19","passed","2026-05-19","","Order Auto 20260515 150607","",""
"Auto generated from AI flow","14925","order Auto Test 4","","2026-05-19","passed","2026-05-19","","Order Auto 20260515 150607","",""
"Auto generated from AI flow","25038","order Auto Test 3","","2026-05-19","failed","2026-05-19","","Order Auto 20260515 150607","",""
