"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Auto generated from AI flow","7344","register Auto Test 6","","2026-05-19","passed","2026-05-19","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","6162","register Auto Test 4","","2026-05-19","passed","2026-05-19","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","6347","register Auto Test 7","","2026-05-19","passed","2026-05-19","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","6212","register Auto Test 9","","2026-05-19","passed","2026-05-19","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","8604","register Auto Test 1","","2026-05-19","passed","2026-05-19","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","6787","register Auto Test 10","","2026-05-19","passed","2026-05-19","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","6211","register Auto Test 8","","2026-05-19","passed","2026-05-19","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","17227","register Auto Test 3","","2026-05-19","failed","2026-05-19","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","6194","register Auto Test 5","","2026-05-19","passed","2026-05-19","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","8140","register Auto Test 2","","2026-05-19","passed","2026-05-19","","Register Auto 20260510 162840","",""
