"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Auto generated from AI flow","8847","register Auto Test 10","","2026-05-20","passed","2026-05-20","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","9377","register Auto Test 9","","2026-05-20","passed","2026-05-20","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","10831","register Auto Test 1","","2026-05-20","passed","2026-05-20","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","9221","register Auto Test 8","","2026-05-20","passed","2026-05-20","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","8726","register Auto Test 7","","2026-05-20","passed","2026-05-20","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","9034","register Auto Test 4","","2026-05-20","passed","2026-05-20","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","19547","register Auto Test 3","","2026-05-20","failed","2026-05-20","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","9960","register Auto Test 6","","2026-05-20","passed","2026-05-20","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","9698","register Auto Test 2","","2026-05-20","passed","2026-05-20","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","9321","register Auto Test 5","","2026-05-20","passed","2026-05-20","","Register Auto 20260510 162840","",""
